Date,Ticker,Open,High,Low,Close,Delta
2017-10-18,EURUSD=X,1.1772878170013428,1.1779812574386597,1.1732269525527954,1.1771907806396484,
2017-10-19,EURUSD=X,1.179356575012207,1.1857191324234009,1.1769968271255493,1.1795234680175781,0.0019815712255766282
2017-10-20,EURUSD=X,1.18519926071167,1.1858035326004028,1.1764997243881226,1.184805989265442,0.004478521531023016
2017-10-23,EURUSD=X,1.1754748821258545,1.1778993606567383,1.1734058856964111,1.175364375114441,-0.007968911565727876
2017-10-24,EURUSD=X,1.175530195236206,1.1777175664901733,1.174384355545044,1.1759172677993774,0.00047040109147666875
2017-10-25,EURUSD=X,1.1759862899780273,1.1817537546157837,1.1753782033920288,1.1759034395217896,-1.1759566737046256e-05
2017-10-26,EURUSD=X,1.1822147369384766,1.1835579872131348,1.1692214012145996,1.182075023651123,0.005248376628478324
2017-10-27,EURUSD=X,1.1639004945755005,1.1644154787063599,1.157594919204712,1.163724422454834,-0.015524057973586802
2017-10-30,EURUSD=X,1.160725712776184,1.1642799377441406,1.1598103046417236,1.1604562997817993,-0.0028083304001996767
2017-10-31,EURUSD=X,1.164985179901123,1.1658952236175537,1.1625608205795288,1.1652703285217285,0.004148392956145219
2017-11-01,EURUSD=X,1.1651616096496582,1.165745735168457,1.160833477973938,1.165175199508667,-8.163686205087117e-05
2017-11-02,EURUSD=X,1.162912368774414,1.168729543685913,1.1628854274749756,1.1628718376159668,-0.0019768373834866404
2017-11-03,EURUSD=X,1.1663167476654053,1.1686748266220093,1.1605236530303955,1.1661807298660278,0.0028454487786415683
2017-11-06,EURUSD=X,1.1615345478057861,1.1626555919647217,1.1582788228988647,1.1614941358566284,-0.004018754460072271
2017-11-07,EURUSD=X,1.1611839532852173,1.1617100238800049,1.1555883884429932,1.1612648963928223,-0.00019736601049391567
2017-11-08,EURUSD=X,1.1602543592453003,1.1609547138214111,1.1581177711486816,1.1601063013076782,-0.0009977009455318653
2017-11-09,EURUSD=X,1.1595547199249268,1.1652567386627197,1.1586410999298096,1.15968918800354,-0.0003595474860088599
2017-11-10,EURUSD=X,1.164523959159851,1.1675150394439697,1.1623986959457397,1.164686679840088,0.004309337267471847
2017-11-13,EURUSD=X,1.1661127805709839,1.1675150394439697,1.163873314857483,1.1661127805709839,0.0012244501079825554
2017-11-14,EURUSD=X,1.1664936542510986,1.177412509918213,1.166330337524414,1.1664936542510986,0.0003266182194900935
2017-11-15,EURUSD=X,1.1791757345199585,1.1859441995620728,1.1786059141159058,1.1792869567871094,0.01096731430075737
2017-11-16,EURUSD=X,1.1777315139770508,1.1821727752685547,1.177467942237854,1.1777453422546387,-0.0013072429264127106
2017-11-17,EURUSD=X,1.1732131242752075,1.1807490587234497,1.1725940704345703,1.1731857061386108,-0.0038714957745441536
2017-11-20,EURUSD=X,1.1738742589950562,1.1756683588027954,1.1715501546859741,1.1741223335266113,0.0007983624272778211
2017-11-21,EURUSD=X,1.174094796180725,1.179815649986267,1.1735574007034302,1.173722743988037,-0.000340330412908485
2017-11-22,EURUSD=X,1.181516408920288,1.185499906539917,1.1814465522766113,1.1814744472503662,0.00660437339400155
2017-11-24,EURUSD=X,1.1850868463516235,1.1943720579147339,1.183726191520691,1.1853959560394287,0.00331916513149233
2017-11-27,EURUSD=X,1.1928761005401611,1.1960434913635254,1.1908164024353027,1.1926485300064087,0.006118271224082594
2017-11-28,EURUSD=X,1.1904053688049316,1.192099690437317,1.1867464780807495,1.1904903650283813,-0.0018095565656847112
2017-11-29,EURUSD=X,1.1849744319915771,1.1884952783584595,1.1820051670074463,1.184805989265442,-0.004774818788897961
2017-11-30,EURUSD=X,1.1850025653839111,1.1929757595062256,1.1815024614334106,1.18519926071167,0.00033192898229006396
2017-12-01,EURUSD=X,1.18990957736969,1.1939870119094849,1.185213327407837,1.1898245811462402,0.003902567768893972
