Date,Ticker,Open,High,Low,Close,Volume,Delta,volumeDelta,high_low_delta,end_day_delta
2021-10-25,AMZN,166.75,167.38999938964844,164.88499450683594,166.01849365234375,44520000.0,,,0.01519243694858264,-0.004386844663605697
2021-10-26,AMZN,167.47549438476562,170.80599975585938,167.19900512695312,168.80349731445312,53966000.0,0.01677526160393561,0.21217430368373758,0.02157306274739782,0.007929535808005959
2021-10-27,AMZN,169.39999389648438,171.85000610351562,168.57249450683594,169.62449645996094,54044000.0,0.004863638245470758,0.001445354482451977,0.019442742460851335,0.0013252808238809605
2021-10-28,AMZN,170.10499572753906,173.9499969482422,169.3000030517578,172.32850646972656,114174000.0,0.01594115275917063,1.1126119458219228,0.02746600007480682,0.013071401769698442
2021-10-29,AMZN,165.00100708007812,168.74099731445312,163.66600036621094,168.6215057373047,129722000.0,-0.021511245053778105,0.13617811410653924,0.031008254230485414,0.02194228217934128
2021-11-01,AMZN,168.08999633789062,168.79299926757812,164.6009979248047,165.90550231933594,72178000.0,-0.01610709978002456,-0.4435947641880329,0.025467654483410155,-0.012995978738457868
2021-11-02,AMZN,165.75050354003906,166.55599975585938,164.17750549316406,165.6374969482422,52552000.0,-0.0016154097805501921,-0.27191110864806456,0.014487333423361991,-0.0006817873212045892
2021-11-03,AMZN,165.4499969482422,169.74600219726562,164.87600708007812,169.1999969482422,67944000.0,0.021507811127532195,0.2928908509666617,0.029537318397225662,0.022665458260317253
2021-11-04,AMZN,168.5,174.93150329589844,168.25,173.85000610351562,107060000.0,0.02748232410840923,0.5757094077475569,0.03971175807369057,0.03175077806240727
2021-11-05,AMZN,173.85000610351562,178.3125,173.8489990234375,175.94949340820312,99940000.0,0.01207642928374364,-0.06650476368391556,0.025674585425486125,0.012076429283743601
2021-11-08,AMZN,176.16200256347656,178.9499969482422,174.39300537109375,174.44900512695312,61480000.0,-0.008527948857282919,-0.38483089853912344,0.026130586874465178,-0.009723989348419174
2021-11-09,AMZN,175.7624969482422,179.68850708007812,175.07150268554688,178.81149291992188,85898000.0,0.025007238016599764,0.3971698113207547,0.026372106960343176,0.017347249980054297
2021-11-10,AMZN,178.19349670410156,180.2725067138672,173.1544952392578,174.1024932861328,80548000.0,-0.026334994227121156,-0.06228317306572917,0.04110786419246002,-0.022958208316446294
2021-11-11,AMZN,175.64999389648438,177.16200256347656,173.37350463867188,173.625,45288000.0,-0.0027425987825921982,-0.4377514028902021,0.021851654511456667,-0.01152857367975636
2021-11-12,AMZN,174.25,177.0364990234375,172.3524932861328,176.25750732421875,53788000.0,0.015162029225161966,0.18768768768768762,0.02717689572107603,0.011520845476147776
