Date,Ticker,Open,High,Low,Close,Volume,Delta,volumeDelta,high_low_delta,end_day_delta
2022-01-03,^IXIC,15732.5,15832.7998046875,15644.08984375,15832.7998046875,4412130000.0,,,0.01206269989640157,0.006375325262196091
2022-01-04,^IXIC,15852.1396484375,15852.1396484375,15512.41015625,15622.7197265625,5109270000.0,-0.013268662568625578,0.1580053171597391,0.021900497006303168,-0.014472489327181348
2022-01-05,^IXIC,15547.16015625,15586.2998046875,15095.1796875,15100.169921875,5011990000.0,-0.033448068827544475,-0.019039901982083496,0.03253489705685227,-0.028750603318079843
2022-01-06,^IXIC,15024.150390625,15198.4501953125,14914.8701171875,15080.8603515625,4774740000.0,-0.0012787651008169254,-0.047336487103924796,0.019013244895656842,0.003774586879327749
2022-01-07,^IXIC,15095.7197265625,15171.01953125,14877.6298828125,14935.900390625,4229270000.0,-0.009612181106264384,-0.11424077541394928,0.01972018733820235,-0.010587063010734171
2022-01-10,^IXIC,14751.7802734375,14953.849609375,14530.23046875,14942.830078125,5303230000.0,0.0004639618180870553,0.2539350762661168,0.02915433045167954,0.012950965995033835
2022-01-11,^IXIC,14919.259765625,15158.7099609375,14837.6298828125,15153.4501953125,4378660000.0,0.014095062052256635,-0.1743409205333354,0.021639579950496694,0.015697188289937204
2022-01-12,^IXIC,15263.099609375,15319.0302734375,15117.2900390625,15188.3896484375,4321180000.0,0.0023057094374328013,-0.01312730378700333,0.01334499992086617,-0.004894809235970075
2022-01-13,^IXIC,15245.0400390625,15259.7099609375,14782.240234375,14806.8095703125,4283070000.0,-0.025123142542254673,-0.008819350270065085,0.03230022777279588,-0.028745773551733432
2022-01-14,^IXIC,14708.01953125,14897.6796875,14689.4296875,14893.75,4345780000.0,0.005871651774452147,0.014641367056807297,0.014176860806053673,0.012627836695170284
2022-01-18,^IXIC,14681.830078125,14740.5400390625,14482.9404296875,14506.900390625,5027990000.0,-0.025973956147712918,0.15698217581193719,0.01778641641354581,-0.011914705903089982
2022-01-19,^IXIC,14582.2197265625,14658.8896484375,14331.650390625,14340.259765625,4639990000.0,-0.011486990364095284,-0.07716801346064728,0.022833326860007865,-0.016592807231998675
2022-01-20,^IXIC,14462.849609375,14642.0302734375,14140.7802734375,14154.01953125,5078450000.0,-0.012987228782384785,0.09449589331011499,0.03544712457922596,-0.021353335370701255
2022-01-21,^IXIC,14046.2197265625,14171.7197265625,13764.240234375,13768.919921875,5845830000.0,-0.02720779129382689,0.15110516003898833,0.02960421245553788,-0.019741952645315978
2022-01-24,^IXIC,13481.5,13876.6103515625,13094.650390625,13855.1298828125,6982960000.0,0.0062611999653316985,0.19451985432350916,0.05971598611730309,0.027714266425286505
2022-01-25,^IXIC,13610.8701171875,13781.6201171875,13414.1396484375,13539.2900390625,4981070000.0,-0.02279587751406098,-0.2866821519813947,0.027395008429989372,-0.00525903763012258
2022-01-26,^IXIC,13871.76953125,14002.650390625,13392.1904296875,13542.1201171875,5734390000.0,0.00020902706987113717,0.1512365816983099,0.045583279609304715,-0.023764049231056895
2022-01-27,^IXIC,13710.990234375,13765.91015625,13322.66015625,13352.7802734375,5155970000.0,-0.013981551050466057,-0.1008686189812692,0.033270382551345054,-0.026125754217184636
2022-01-28,^IXIC,13436.7099609375,13771.91015625,13236.5595703125,13770.5703125,4955960000.0,0.03128861783890824,-0.038791924700880775,0.04044484392592516,0.02484688234940557
2022-01-31,^IXIC,13812.1904296875,14242.900390625,13767.7099609375,14239.8798828125,5111460000.0,0.03408061973195786,0.03137636300535118,0.03451484894987883,0.030964636297349142
2022-02-01,^IXIC,14277.4296875,14358.6904296875,14070.76953125,14346.0,4650460000.0,0.007452318282233916,-0.09018949576050683,0.020462342006103633,0.004802707069889046
2022-02-02,^IXIC,14494.4697265625,14504.8203125,14264.650390625,14417.5498046875,4647630000.0,0.004987439334134924,-0.0006085419506887124,0.016836719814237035,-0.005306846219702463
2022-02-03,^IXIC,14045.830078125,14207.8896484375,13851.740234375,13878.8203125,4306490000.0,-0.03736623070394007,-0.07340085161684562,0.025711528518176093,-0.011890345013151006
2022-02-04,^IXIC,13958.48046875,14222.759765625,13850.3896484375,14098.009765625,4104120000.0,0.01579308962791215,-0.04699186576539127,0.02688517266584685,0.009996023362813434
2022-02-07,^IXIC,14118.7900390625,14236.3095703125,13974.099609375,14015.669921875,4253020000.0,-0.0058405296292791675,0.036280615576542496,0.018763996841813516,-0.007303750314453098
2022-02-08,^IXIC,13984.4296875,14226.48046875,13934.7802734375,14194.4501953125,4277150000.0,0.012755742282319904,0.005673615454430125,0.020933246853453397,0.015018167526719169
2022-02-09,^IXIC,14368.16015625,14490.7197265625,14330.8701171875,14490.3701171875,4713210000.0,0.020847579004696026,0.10195106554598277,0.01115421520590623,0.008505609598480146
2022-02-10,^IXIC,14228.6796875,14509.5595703125,14118.2001953125,14185.6396484375,5191050000.0,-0.021029860954935087,0.10138313378780062,0.0277202029710514,-0.0030248793287764426
2022-02-11,^IXIC,14213.6201171875,14246.7001953125,13733.16015625,13791.150390625,5222590000.0,-0.027809056735481952,0.0060758420743394215,0.03739416370446874,-0.029722880102278658
