,period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
39,2021-08-01,AR,Arkansas,TRA,transportation,2.0,14.96,0.00419,0.028,number of customers,cents per kilowatthour,million dollars,million kilowatthours
40,2021-08-01,CA,California,ALL,all sectors,15789757.0,21.35,5533.53778,25923.70267,number of customers,cents per kilowatthour,million dollars,million kilowatthours
41,2021-08-01,CA,California,COM,commercial,1757958.0,21.3,2335.8456,10964.8947,number of customers,cents per kilowatthour,million dollars,million kilowatthours
42,2021-08-01,CA,California,IND,industrial,148732.0,17.04,774.91749,4547.52317,number of customers,cents per kilowatthour,million dollars,million kilowatthours
43,2021-08-01,CA,California,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
44,2021-08-01,CA,California,RES,residential,13883055.0,23.34,2415.85007,10348.66291,number of customers,cents per kilowatthour,million dollars,million kilowatthours
45,2021-08-01,CA,California,TRA,transportation,12.0,11.06,6.92462,62.6219,number of customers,cents per kilowatthour,million dollars,million kilowatthours
46,2021-08-01,CO,Colorado,ALL,all sectors,2798393.0,11.64,659.27811,5664.49693,number of customers,cents per kilowatthour,million dollars,million kilowatthours
47,2021-08-01,CO,Colorado,COM,commercial,386143.0,11.61,229.98593,1981.69626,number of customers,cents per kilowatthour,million dollars,million kilowatthours
48,2021-08-01,CO,Colorado,IND,industrial,14821.0,8.57,120.15793,1401.35005,number of customers,cents per kilowatthour,million dollars,million kilowatthours
49,2021-08-01,CO,Colorado,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
50,2021-08-01,CO,Colorado,RES,residential,2397428.0,13.56,308.34212,2273.79867,number of customers,cents per kilowatthour,million dollars,million kilowatthours
51,2021-08-01,CO,Colorado,TRA,transportation,1.0,10.35,0.79213,7.65196,number of customers,cents per kilowatthour,million dollars,million kilowatthours
52,2021-08-01,CT,Connecticut,ALL,all sectors,1692587.0,17.37,514.73484,2962.63699,number of customers,cents per kilowatthour,million dollars,million kilowatthours
53,2021-08-01,CT,Connecticut,COM,commercial,155547.0,14.85,194.14237,1306.95724,number of customers,cents per kilowatthour,million dollars,million kilowatthours
54,2021-08-01,CT,Connecticut,IND,industrial,4043.0,12.77,34.53575,270.48753,number of customers,cents per kilowatthour,million dollars,million kilowatthours
55,2021-08-01,CT,Connecticut,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
56,2021-08-01,CT,Connecticut,RES,residential,1532994.0,20.75,284.60565,1371.67133,number of customers,cents per kilowatthour,million dollars,million kilowatthours
57,2021-08-01,CT,Connecticut,TRA,transportation,3.0,10.73,1.45107,13.5209,number of customers,cents per kilowatthour,million dollars,million kilowatthours
58,2021-08-01,DE,Delaware,ALL,all sectors,509896.0,10.43,121.80702,1168.18536,number of customers,cents per kilowatthour,million dollars,million kilowatthours
59,2021-08-01,DE,Delaware,COM,commercial,58286.0,9.44,40.1988,425.95185,number of customers,cents per kilowatthour,million dollars,million kilowatthours
60,2021-09-01,AL,Alabama,ALL,all sectors,2696173.0,10.75,811.1314,7544.61213,number of customers,cents per kilowatthour,million dollars,million kilowatthours
61,2021-09-01,AL,Alabama,COM,commercial,374887.0,12.11,245.17804,2024.74217,number of customers,cents per kilowatthour,million dollars,million kilowatthours
62,2021-09-01,AL,Alabama,IND,industrial,8004.0,6.7,179.59734,2679.25358,number of customers,cents per kilowatthour,million dollars,million kilowatthours
63,2021-09-01,AL,Alabama,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
64,2021-09-01,AL,Alabama,RES,residential,2313282.0,13.6,386.35603,2840.61637,number of customers,cents per kilowatthour,million dollars,million kilowatthours
65,2021-09-01,AL,Alabama,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
66,2021-09-01,AK,Alaska,ALL,all sectors,352151.0,20.32,93.08699,458.08731,number of customers,cents per kilowatthour,million dollars,million kilowatthours
67,2021-09-01,AK,Alaska,COM,commercial,56589.0,19.52,39.0893,200.28642,number of customers,cents per kilowatthour,million dollars,million kilowatthours
68,2021-09-01,AK,Alaska,IND,industrial,1152.0,17.96,19.95757,111.14223,number of customers,cents per kilowatthour,million dollars,million kilowatthours
69,2021-09-01,AK,Alaska,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
70,2021-09-01,AK,Alaska,RES,residential,294410.0,23.21,34.04012,146.65866,number of customers,cents per kilowatthour,million dollars,million kilowatthours
71,2021-09-01,AK,Alaska,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
72,2021-09-01,AZ,Arizona,ALL,all sectors,3282373.0,11.18,897.28314,8026.64879,number of customers,cents per kilowatthour,million dollars,million kilowatthours
73,2021-09-01,AZ,Arizona,COM,commercial,334090.0,10.66,307.98836,2889.72884,number of customers,cents per kilowatthour,million dollars,million kilowatthours
74,2021-09-01,AZ,Arizona,IND,industrial,7357.0,7.29,87.35377,1198.87792,number of customers,cents per kilowatthour,million dollars,million kilowatthours
75,2021-09-01,AZ,Arizona,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
76,2021-09-01,AZ,Arizona,RES,residential,2940924.0,12.75,501.84839,3937.12884,number of customers,cents per kilowatthour,million dollars,million kilowatthours
77,2021-09-01,AZ,Arizona,TRA,transportation,2.0,10.14,0.09262,0.91318,number of customers,cents per kilowatthour,million dollars,million kilowatthours
78,2021-09-01,AR,Arkansas,ALL,all sectors,1682927.0,9.49,436.71326,4599.83074,number of customers,cents per kilowatthour,million dollars,million kilowatthours
79,2021-09-01,AR,Arkansas,COM,commercial,204266.0,9.5,107.29019,1129.38973,number of customers,cents per kilowatthour,million dollars,million kilowatthours
80,2021-09-01,AR,Arkansas,IND,industrial,41094.0,7.0,113.10781,1615.4529,number of customers,cents per kilowatthour,million dollars,million kilowatthours
81,2021-09-01,AR,Arkansas,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
82,2021-09-01,AR,Arkansas,RES,residential,1437565.0,11.66,216.31126,1854.95911,number of customers,cents per kilowatthour,million dollars,million kilowatthours
83,2021-09-01,AR,Arkansas,TRA,transportation,2.0,13.79,0.004,0.029,number of customers,cents per kilowatthour,million dollars,million kilowatthours
84,2021-09-01,CA,California,ALL,all sectors,15779279.0,21.56,5070.85971,23517.00508,number of customers,cents per kilowatthour,million dollars,million kilowatthours
85,2021-09-01,CA,California,COM,commercial,1753897.0,21.8,2176.29234,9981.66869,number of customers,cents per kilowatthour,million dollars,million kilowatthours
86,2021-09-01,CA,California,IND,industrial,148602.0,17.17,750.94883,4372.47087,number of customers,cents per kilowatthour,million dollars,million kilowatthours
87,2021-09-01,CA,California,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
88,2019-01-01,CO,Colorado,IND,industrial,13919.0,7.14,91.04282,1275.06896,number of customers,cents per kilowatthour,million dollars,million kilowatthours
89,2019-01-01,CO,Colorado,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
90,2019-01-01,CO,Colorado,RES,residential,2354778.0,11.91,201.9771,1696.50786,number of customers,cents per kilowatthour,million dollars,million kilowatthours
